  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.56070000000E+05,0.17779680365E-02,0.16000000000E-03,0.55499993338E-08,0.31118846264E-03
 0.56160000000E+05,0.17808219178E-02,0.16000000000E-03,0.55499993338E-08,0.31168796258E-03
 0.56250000000E+05,0.17836757991E-02,0.16000000000E-03,0.55499993338E-08,0.31218746252E-03
 0.56340000000E+05,0.17865296804E-02,0.16000000000E-03,0.55499993338E-08,0.31268696246E-03
 0.56430000000E+05,0.17893835616E-02,0.16000000000E-03,0.55499993338E-08,0.31318646240E-03
 0.56520000000E+05,0.17922374429E-02,0.16000000000E-03,0.55499993338E-08,0.31368596234E-03
 0.56610000000E+05,0.17950913242E-02,0.16000000000E-03,0.55499993338E-08,0.31418546228E-03
 0.56700000000E+05,0.17979452055E-02,0.16000000000E-03,0.55499993338E-08,0.31468496222E-03
 0.56790000000E+05,0.18007990868E-02,0.16000000000E-03,0.55499993338E-08,0.31518446216E-03
 0.56880000000E+05,0.18036529680E-02,0.16000000000E-03,0.55499993338E-08,0.31568396210E-03
 0.56970000000E+05,0.18065068493E-02,0.16000000000E-03,0.55499993338E-08,0.31618346204E-03
 0.57060000000E+05,0.18093607306E-02,0.16000000000E-03,0.55499993338E-08,0.31668296198E-03
 0.57150000000E+05,0.18122146119E-02,0.16000000000E-03,0.55499993338E-08,0.31718246192E-03
 0.57240000000E+05,0.18150684932E-02,0.16000000000E-03,0.55499993338E-08,0.31768196186E-03
 0.57330000000E+05,0.18179223744E-02,0.16000000000E-03,0.55499993338E-08,0.31818146180E-03
 0.57420000000E+05,0.18207762557E-02,0.16000000000E-03,0.55499993338E-08,0.31868096174E-03
 0.57510000000E+05,0.18236301370E-02,0.16000000000E-03,0.55499993338E-08,0.31918046168E-03
 0.57600000000E+05,0.18264840183E-02,0.16000000000E-03,0.55499993338E-08,0.31967996162E-03
 0.57690000000E+05,0.18293378995E-02,0.16000000000E-03,0.55499993338E-08,0.32017946156E-03
 0.57780000000E+05,0.18321917808E-02,0.16000000000E-03,0.55499993338E-08,0.32067896150E-03
 0.57870000000E+05,0.18350456621E-02,0.16000000000E-03,0.55499993338E-08,0.32117846144E-03
 0.57960000000E+05,0.18378995434E-02,0.16000000000E-03,0.55499993338E-08,0.32167796138E-03
 0.58050000000E+05,0.18407534247E-02,0.16000000000E-03,0.55499993338E-08,0.32217746132E-03
 0.58140000000E+05,0.18436073059E-02,0.16000000000E-03,0.55499993338E-08,0.32267696126E-03
 0.58230000000E+05,0.18464611872E-02,0.16000000000E-03,0.55499993338E-08,0.32317646120E-03
 0.58320000000E+05,0.18493150685E-02,0.16000000000E-03,0.55499993338E-08,0.32367596114E-03
 0.58410000000E+05,0.18521689498E-02,0.16000000000E-03,0.55499993338E-08,0.32417546108E-03
