  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.43200000000E+04,0.13698630137E-03,0.16000000000E-03,0.55499993338E-08,0.23975997122E-04
 0.44100000000E+04,0.13984018265E-03,0.16000000000E-03,0.55499993338E-08,0.24475497062E-04
 0.45000000000E+04,0.14269406393E-03,0.16000000000E-03,0.55499993338E-08,0.24974997002E-04
 0.45900000000E+04,0.14554794521E-03,0.16000000000E-03,0.55499993338E-08,0.25474496942E-04
 0.46800000000E+04,0.14840182648E-03,0.16000000000E-03,0.55499993338E-08,0.25973996882E-04
 0.47700000000E+04,0.15125570776E-03,0.16000000000E-03,0.55499993338E-08,0.26473496822E-04
 0.48600000000E+04,0.15410958904E-03,0.16000000000E-03,0.55499993338E-08,0.26972996762E-04
 0.49500000000E+04,0.15696347032E-03,0.16000000000E-03,0.55499993338E-08,0.27472496702E-04
 0.50400000000E+04,0.15981735160E-03,0.16000000000E-03,0.55499993338E-08,0.27971996642E-04
 0.51300000000E+04,0.16267123288E-03,0.16000000000E-03,0.55499993338E-08,0.28471496582E-04
 0.52200000000E+04,0.16552511416E-03,0.16000000000E-03,0.55499993338E-08,0.28970996522E-04
 0.53100000000E+04,0.16837899543E-03,0.16000000000E-03,0.55499993338E-08,0.29470496462E-04
 0.54000000000E+04,0.17123287671E-03,0.16000000000E-03,0.55499993338E-08,0.29969996402E-04
 0.54900000000E+04,0.17408675799E-03,0.16000000000E-03,0.55499993338E-08,0.30469496342E-04
 0.55800000000E+04,0.17694063927E-03,0.16000000000E-03,0.55499993338E-08,0.30968996282E-04
 0.56700000000E+04,0.17979452055E-03,0.16000000000E-03,0.55499993338E-08,0.31468496222E-04
 0.57600000000E+04,0.18264840183E-03,0.16000000000E-03,0.55499993338E-08,0.31967996162E-04
 0.58500000000E+04,0.18550228311E-03,0.16000000000E-03,0.55499993338E-08,0.32467496102E-04
 0.59400000000E+04,0.18835616438E-03,0.16000000000E-03,0.55499993338E-08,0.32966996043E-04
 0.60300000000E+04,0.19121004566E-03,0.16000000000E-03,0.55499993338E-08,0.33466495983E-04
 0.61200000000E+04,0.19406392694E-03,0.16000000000E-03,0.55499993338E-08,0.33965995923E-04
 0.62100000000E+04,0.19691780822E-03,0.16000000000E-03,0.55499993338E-08,0.34465495863E-04
 0.63000000000E+04,0.19977168950E-03,0.16000000000E-03,0.55499993338E-08,0.34964995803E-04
 0.63900000000E+04,0.20262557078E-03,0.16000000000E-03,0.55499993338E-08,0.35464495743E-04
 0.64800000000E+04,0.20547945205E-03,0.16000000000E-03,0.55499993338E-08,0.35963995683E-04
 0.65700000000E+04,0.20833333333E-03,0.16000000000E-03,0.55499993338E-08,0.36463495623E-04
 0.66600000000E+04,0.21118721461E-03,0.16000000000E-03,0.55499993338E-08,0.36962995563E-04
 0.67500000000E+04,0.21404109589E-03,0.16000000000E-03,0.55499993338E-08,0.37462495503E-04
 0.68400000000E+04,0.21689497717E-03,0.16000000000E-03,0.55499993338E-08,0.37961995443E-04
 0.69300000000E+04,0.21974885845E-03,0.16000000000E-03,0.55499993338E-08,0.38461495383E-04
 0.70200000000E+04,0.22260273973E-03,0.16000000000E-03,0.55499993338E-08,0.38960995323E-04
 0.71100000000E+04,0.22545662100E-03,0.16000000000E-03,0.55499993338E-08,0.39460495263E-04
 0.72000000000E+04,0.22831050228E-03,0.16000000000E-03,0.55499993338E-08,0.39959995203E-04
 0.72900000000E+04,0.23116438356E-03,0.16000000000E-03,0.55499993338E-08,0.40459495143E-04
 0.73800000000E+04,0.23401826484E-03,0.16000000000E-03,0.55499993338E-08,0.40958995083E-04
